P;PID;FLC;FLC3
0.00474086;-1.52412e-005;-1.63833e-006;-2.90795e-008
0.00478079;-1.5309e-005;-1.42079e-006;-1.9811e-008
0.00481038;-1.53751e-005;-1.20389e-006;-1.11565e-008
0.00482983;-1.54395e-005;-9.89433e-007;-3.11567e-009
0.00483934;-1.55023e-005;-7.7908e-007;4.31452e-009
0.00483912;-1.55634e-005;-5.74345e-007;1.11401e-008
0.00482941;-1.56231e-005;-3.76594e-007;1.73696e-008
0.00481046;-1.56812e-005;-1.87042e-007;2.3013e-008
0.00478251;-1.57379e-005;-6.75495e-009;2.80804e-008
0.00474583;-1.57932e-005;1.63348e-007;3.25823e-008
0.00470071;-1.5847e-005;3.22493e-007;3.65289e-008
0.00464743;-1.58995e-005;4.70049e-007;3.9931e-008
0.00458629;-1.59507e-005;6.05355e-007;4.27992e-008
0.0045176;-1.60006e-005;7.27747e-007;4.51445e-008
0.00444167;-1.60492e-005;8.36583e-007;4.69784e-008
0.00435882;-1.60966e-005;9.31265e-007;4.83125e-008
0.00426937;-1.61429e-005;1.01126e-006;4.91658e-008
0.00417367;-1.61879e-005;1.07613e-006;4.95634e-008
0.00407204;-1.62318e-005;1.12551e-006;4.95351e-008
0.00396483;-1.62746e-005;1.15919e-006;4.9114e-008
0.00385237;-1.63163e-005;1.17717e-006;4.83356e-008
0.00373502;-1.6357e-005;1.17984e-006;4.72362e-008
0.00361312;-1.63967e-005;1.16798e-006;4.58508e-008
0.00348701;-1.64353e-005;1.14265e-006;4.42132e-008
0.00335705;-1.6473e-005;1.10521e-006;4.23558e-008
0.00322358;-1.65097e-005;1.05701e-006;4.03097e-008
0.00308694;-1.65455e-005;9.99426e-007;3.81043e-008
0.00294748;-1.65804e-005;9.3376e-007;3.57677e-008
0.00280554;-1.66145e-005;8.61298e-007;3.33265e-008
0.00266145;-1.66476e-005;7.8328e-007;3.08056e-008
0.00251556;-1.66799e-005;7.00892e-007;2.82284e-008
0.00236818;-1.67115e-005;6.15267e-007;2.56169e-008
0.00221965;-1.67422e-005;5.27479e-007;2.29913e-008
0.00207028;-1.67721e-005;4.38536e-007;2.03703e-008
0.00192039;-1.68013e-005;3.49381e-007;1.77712e-008
0.00177028;-1.68298e-005;2.60886e-007;1.52097e-008
0.00162025;-1.68575e-005;1.73853e-007;1.27001e-008
0.00147059;-1.68845e-005;8.90125e-008;1.02551e-008
0.0013216;-1.69109e-005;7.02085e-009;7.88613e-009
0.00117354;-1.69366e-005;-7.15376e-008;5.60326e-009
0.00102668;-1.69616e-005;-1.46151e-007;3.41523e-009
0.000881293;-1.6986e-005;-2.16377e-007;1.32951e-009
0.000737617;-1.70098e-005;-2.81811e-007;-6.47608e-010
0.000595898;-1.7033e-005;-3.42078e-007;-2.511e-009
0.000456366;-1.70556e-005;-3.96847e-007;-4.2566e-009
0.000319245;-1.70777e-005;-4.4583e-007;-5.88165e-009
0.000184747;-1.70991e-005;-4.88786e-007;-7.38492e-009
5.30719e-005;-1.71201e-005;-5.25523e-007;-8.76661e-009
-7.55872e-005;-1.71405e-005;-5.55902e-007;-1.00281e-008
-0.00020105;-1.71604e-005;-5.79838e-007;-1.1172e-008
-0.000323145;-1.71798e-005;-5.97299e-007;-1.22014e-008
-0.000441713;-1.71987e-005;-6.08358e-007;-1.31207e-008
-0.000556604;-1.72171e-005;-6.13195e-007;-1.39343e-008
-0.000667681;-1.72351e-005;-6.12084e-007;-1.46475e-008
-0.000774816;-1.72526e-005;-6.05385e-007;-1.52659e-008
-0.000877892;-1.72697e-005;-5.93525e-007;-1.57946e-008
