Plaus_1; Plaus_2; Plaus_3; Belief_1; Belief_2; Belief_3
0.00215586; -0.00132629; 0.000906235; -0.000356263; -0.00348023; -0.00160522; 
0.00190229; -0.00181876; 0.00142761; -0.000323341; -0.00343232; -0.00152577; 
0.00162659; -0.00225564; 0.00190845; -0.000288651; -0.00335056; -0.0014452; 
0.00126978; -0.00263234; 0.00234558; -0.000252782; -0.00323804; -0.00136501; 
0.000914058; -0.00294551; 0.00273643; -0.00021629; -0.00309794; -0.00128536; 
0.000564202; -0.00319299; 0.00307902; -0.000179698; -0.00293355; -0.00120587; 
0.000225915; -0.0033738; 0.00337193; -0.000143489; -0.0027482; -0.00112688; 
-9.56872e-005; -0.00348814; 0.00361436; -0.000108102; -0.00254523; -0.00104872; 
-0.000396213; -0.00353492; 0.00380603; -7.39325e-005; -0.00232893; -0.000971691; 
-0.000671973; -0.00351761; 0.00399582; -4.13292e-005; -0.00210129; -0.000896047; 
-0.000919683; -0.00344113; 0.00415726; -1.05936e-005; -0.00186546; -0.000822031; 
-0.00113675; -0.00330977; 0.00426605; 1.80244e-005; -0.00162449; -0.000749854; 
-0.00132126; -0.00312858; 0.00432304; 4.43183e-005; -0.0013874; -0.000679706; 
-0.00147195; -0.00290316; 0.0043294; 6.81271e-005; -0.00117994; -0.00061175; 
-0.00158821; -0.00263959; 0.00428678; 8.49741e-005; -0.000973473; -0.000546128; 
-0.00167007; -0.00234426; 0.00419733; 9.62065e-005; -0.000770068; -0.00048296; 
-0.00171811; -0.00202426; 0.00406362; 0.000106134; -0.000571365; -0.000422347; 
-0.00173349; -0.00168582; 0.00388866; 0.000114732; -0.000378862; -0.000364369; 
-0.00171784; -0.00133539; 0.00367698; 0.000122016; -0.000193915; -0.00030909; 
-0.00167324; -0.000980088; 0.00343141; 0.000128011; -1.77422e-005; -0.000256554; 
-0.00160215; -0.000626768; 0.00315506; 0.000132748; 0.00014876; -0.000206794; 
-0.001514; -0.000281141; 0.00285198; 0.000136266; 0.00030465; -0.000159823; 
-0.00140928; 5.13509e-005; 0.00251007; 0.00013861; 0.000449131; -0.000115644; 
-0.00128556; 0.000365993; 0.00208744; 0.000139831; 0.000581546; -7.42452e-005; 
-0.001146; 0.000658497; 0.00165615; 0.000139985; 0.000701382; -3.56053e-005; 
-0.000993797; 0.000925053; 0.0012215; 0.00013913; 0.000808262; 3.09448e-007; 
-0.000832199; 0.00116247; 0.000789485; 0.000137332; 0.000901947; 3.35524e-005; 
-0.000664462; 0.00136822; 0.000365837; 0.000134656; 0.000982327; 6.4175e-005; 
-0.000493821; 0.0015404; -4.44186e-005; 0.00013117; 0.00104942; 9.22337e-005; 
-0.000329719; 0.00167778; -0.000436826; 0.000126947; 0.00110334; 0.000117792; 
-0.000200158; 0.00177978; -0.0008069; 0.000122056; 0.00114435; 0.000140922; 
-7.29574e-005; 0.00184641; -0.00115063; 0.000116572; 0.00117994; 0.000161697; 
4.98792e-005; 0.00187812; -0.00146453; 0.00010791; 0.00121902; 0.000180201; 
0.000166979; 0.00187614; -0.00174563; 9.72697e-005; 0.00124502; 0.000196517; 
0.000277049; 0.00184235; -0.0019915; 8.62952e-005; 0.00125836; 0.000210734; 
0.000378939; 0.00177893; -0.00220029; 7.51322e-005; 0.00125943; 0.000222945; 
0.000471652; 0.00168845; -0.00237071; 6.39358e-005; 0.00124869; 0.000233243; 
0.000554349; 0.00157381; -0.00250203; 5.28497e-005; 0.0012267; 0.000241723; 
0.000626357; 0.00143817; -0.0025819; 4.20046e-005; 0.00119412; 0.000248483; 
0.000682534; 0.00128489; -0.00259264; 3.15183e-005; 0.00115165; 0.000253619; 
0.000724145; 0.00111756; -0.00256815; 2.14948e-005; 0.00110012; 0.00025723; 
0.000754194; 0.000939645; -0.00251038; 1.20243e-005; 0.00104047; 0.000259411; 
0.000772849; 0.0007546; -0.00242207; 3.18264e-006; 0.00097339; 0.000260261; 
0.000780456; 0.000565207; -0.0023062; -4.96791e-006; 0.000899807; 0.000259873; 
0.000777486; 0.000374931; -0.00216595; -1.23788e-005; 0.000820654; 0.000258342; 
0.000764524; 0.000187994; -0.00200462; -1.90148e-005; 0.000733552; 0.000255759; 
0.000742255; 7.40218e-006; -0.00182561; -2.48529e-005; 0.000630925; 0.000252215; 
0.000711447; -0.00016413; -0.00163273; -2.98827e-005; 0.000526507; 0.000247796; 
0.000672942; -0.000324183; -0.00142902; -3.41043e-005; 0.000421369; 0.000251445; 
0.00062768; -0.000470607; -0.00121773; -3.75279e-005; 0.000316678; 0.000270112; 
0.000576557; -0.000601589; -0.00100215; -4.01733e-005; 0.000213537; 0.000285994; 
0.000520528; -0.000715671; -0.000819771; -4.20686e-005; 0.000112988; 0.000299194; 
0.000460574; -0.000811753; -0.000642557; -4.32493e-005; 1.5969e-005; 0.000309736; 
0.000397676; -0.000889098; -0.00046723; -4.3757e-005; -7.66775e-005; 0.000317651; 
0.000313693; -0.00094732; -0.000295649; -4.36388e-005; -0.000164162; 0.000322982; 
0.000229119; -0.000986382; -0.000129481; -4.29461e-005; -0.000245786; 0.000325784; 
0.000145649; -0.00100643; 2.97987e-005; -4.17336e-005; -0.000320947; 0.000326119; 
6.46603e-005; -0.00100786; 0.000180901; -4.00581e-005; -0.00038914; 0.000324068; 
-1.2593e-005; -0.000991943; 0.000322599; -3.79782e-005; -0.000449954; 0.000319721; 
-8.49997e-005; -0.00095982; 0.000453823; -3.55528e-005; -0.000503081; 0.00031316; 
-0.000151607; -0.000912867; 0.000573672; -3.28407e-005; -0.000548306; 0.000304487; 
-0.000211606; -0.000852642; 0.000681406; -2.98999e-005; -0.000585511; 0.000293817; 
-0.000264347; -0.00078085; 0.000776451; -2.67864e-005; -0.000614668; 0.000281271; 
-0.000309347; -0.000699308; 0.000858398; -2.35543e-005; -0.00063249; 0.000266736; 
-0.000346285; -0.000609924; 0.000926998; -2.0255e-005; -0.000635116; 0.000250414; 
-0.000374997; -0.000514634; 0.000982156; -1.69365e-005; -0.000630809; 0.000232653; 
-0.000395472; -0.000415323; 0.00102969; -1.36435e-005; -0.000619975; 0.000213602; 
-0.000407842; -0.000314038; 0.00107805; -1.04168e-005; -0.00060315; 0.00019342; 
-0.000412371; -0.000212899; 0.00111243; -7.29294e-006; -0.000580899; 0.000172268; 
-0.000409445; -0.000113281; 0.00113309; -4.30462e-006; -0.00055381; 0.000150309; 
-0.000399553; -1.68105e-005; 0.00114023; -1.48001e-006; -0.000522486; 0.000127714; 
-0.00038328; 7.50427e-005; 0.00113424; 1.15698e-006; -0.000487534; 0.000104645; 
-0.000362576; 0.000160968; 0.00111561; 3.58673e-006; -0.000449578; 8.12617e-005; 
-0.000338261; 0.000239804; 0.00108498; 5.79381e-006; -0.000409223; 5.7727e-005; 
-0.000309324; 0.000310568; 0.00104307; 7.76685e-006; -0.000367034; 3.42027e-005; 
-0.000276526; 0.000372466; 0.000990788; 8.98866e-006; -0.000323583; 1.08466e-005; 
-0.000240627; 0.00042489; 0.000929099; 9.89672e-006; -0.000279417; -1.21875e-005; 
-0.000202402; 0.000467428; 0.000858908; 1.0683e-005; -0.000238615; -3.4751e-005; 
-0.000162626; 0.000499853; 0.000781282; 1.13476e-005; -0.000200965; -5.67015e-005; 
-0.000122066; 0.000522122; 0.00069734; 1.18929e-005; -0.000163599; -7.79032e-005; 
-8.18912e-005; 0.000534384; 0.000591395; 1.23218e-005; -0.000126867; -9.82279e-005; 
-5.10732e-005; 0.000536969; 0.000478749; 1.26381e-005; -9.10617e-005; -0.000117556; 
-2.07411e-005; 0.000530269; 0.000364481; 1.2846e-005; -5.64533e-005; -0.000123967; 
8.60275e-006; 0.000514867; 0.000250162; 1.29502e-005; -2.32853e-005; -0.000128409; 
3.66186e-005; 0.000491464; 0.000137342; 1.29559e-005; 8.22882e-006; -0.000131911; 
6.29938e-005; 0.000460862; 2.74881e-005; 1.28687e-005; 3.79022e-005; -0.000134523; 
8.74498e-005; 0.000423944; -7.80865e-005; 1.26945e-005; 6.55715e-005; -0.000136303; 
0.000109745; 0.000381657; -0.000178139; 1.24395e-005; 9.11004e-005; -0.000137305; 
0.000129674; 0.000334995; -0.000271549; 1.21101e-005; 0.000114379; -0.000137584; 
0.000147075; 0.000284979; -0.000357334; 1.1713e-005; 0.000135325; -0.000137194; 
0.000160933; 0.000232615; -0.000434656; 1.12546e-005; 0.000153881; -0.00013619; 
0.000171144; 0.000178867; -0.000502823; 1.06593e-005; 0.000170012; -0.000134622; 
0.000178605; 0.000124448; -0.000561299; 9.72533e-006; 0.00018371; -0.000132541; 
