
 Generation    Best        Average       Standard 
 number        value       fitness       deviation 
  337       0.000070338   5.862488727   10.177074198 
  338       0.000070338   6.215959025   11.055058428 
  339       0.000070338   4.647336364   3.905720981 
  340       0.000070338   4.600207820   4.462149901 
  341       0.000070338   3.803808705   4.855046928 
  342       0.000070338   6.219902994   7.304829576 
  343       0.000070338   6.899737637   13.550619965 
  344       0.000070338   5.516872922   10.932311492 
  345       0.000070338   3.644595304   4.278287945 
  346       0.000070338   6.458660929   6.575226785 
  347       0.000070338   9.027938507   10.419958046 
  348       0.000070338   11.129621577   13.955299131 
  349       0.000070338   13.705397104   15.742916678 
  350       0.000070338   10.643824503   15.826846993 
  351       0.000070338   9.606920826   11.935097543 
  352       0.000070338   13.366294266   17.318799379 
  353       0.000070338   13.669891809   14.979335147 
  354       0.000070338   11.901393149   17.319426268 
  355       0.000070338   9.891997570   14.492222460 
  356       0.000070338   8.674453753   19.731647210 
  357       0.000070338   6.363058402   9.460156966 
  358       0.000070338   9.240767206   16.818479364 
  359       0.000070338   4.893152381   6.467812417 
  360       0.000070338   6.710388589   12.179064794 
  361       0.000070338   6.735796210   11.038344676 
  362       0.000070338   7.521574201   10.994997504 
  363       0.000070338   4.983875805   7.549836183 
  364       0.000070338   4.571735441   8.162653472 
  365       0.000070338   7.228684160   11.474356694 
  366       0.000070338   4.022572768   7.870533069 
  367       0.000070338   3.823667149   6.686363569 
  368       0.000070338   4.622088975   8.137154351 
  369       0.000070338   7.370577652   10.932255453 
  370       0.000070338   4.660610940   6.604049451 
  371       0.000070338   7.640447121   14.743888156 
  372       0.000070338   6.618037898   14.785046689 
  373       0.000070338   8.391994553   13.425868513 
  374       0.000070338   6.168297843   11.786576310 
  375       0.000070338   6.143417154   9.490951556 
  376       0.000070338   5.692449519   10.539797140 
  377       0.000070338   9.172908906   12.509998654 
  378       0.000070338   9.211857762   14.029235990 
  379       0.000070338   9.171722713   12.259502701 
  380       0.000070338   7.338540282   9.588648906 
  381       0.000070338   5.369653818   7.791702706 
  382       0.000070338   9.874609502   20.509127650 
  383       0.000070338   5.547673816   10.568390941 
  384       0.000070338   5.169732358   9.022279085 
  385       0.000070338   7.313956588   9.823687954 
  386       0.000070338   4.948374003   5.917753832 
  387       0.000070338   5.892670237   9.216430281 
  388       0.000070338   5.535980601   6.803207667 
  389       0.000070338   7.943056604   12.137316971 
  390       0.000070338   7.359522810   11.012830661 
  391       0.000070338   7.598691248   11.817647001 
  392       0.000070338   4.054630769   5.390629823 
  393       0.000070338   4.218015652   5.992322670 
  394       0.000070338   7.990868627   11.271106645 
  395       0.000070338   7.453294837   14.397084613 
  396       0.000070338   4.912825516   9.022135927 
  397       0.000070338   8.410470501   11.105073353 
  398       0.000070338   8.447193914   14.473480710 
  399       0.000070338   5.452693220   8.981272412 
  400       0.000070338   5.841122536   8.389494134 
  401       0.000070338   5.850912919   8.915079078 
